id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77268,145.09213,Private room,60,1,4,2015-09-12,0.04,1,365
10803,Room in Cool Deco Apartment in Brunswick East,38901,Lindsay,,Moreland,-37.76651,144.98074,Private room,36,2,142,2020-02-02,1.64,1,214
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,159,3,41,2020-02-11,0.35,10,71
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,100,1,141,2020-01-31,1.25,1,342
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,51,7,161,2019-09-19,1.43,3,0
43414,Home In The City,189682,Belinda,,Melbourne,-37.81027,144.98592,Private room,100,15,5,2019-07-21,0.20,1,19
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,98,2,206,2020-01-26,1.84,2,300
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,60,3,46,2020-01-19,0.42,6,340
47100,Très Charming in Fabulous Richmond,212071,Loren,,Yarra,-37.81804,145.00442,Entire home/apt,98,5,178,2019-10-17,1.55,2,4
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81486,144.96267,Entire home/apt,249,2,243,2020-01-30,2.22,1,332
51817,Stay in lovely bayside Elwood!,235341,Bree,,Port Phillip,-37.87629,144.98964,Entire home/apt,89,2,72,2020-01-26,0.69,1,90
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,138,3,68,2020-02-10,0.62,10,77
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.8037,145.03396,Private room,45,2,170,2019-12-14,1.55,1,333
68411,Large Bayside suburban house,334095,Alec,,Bayside,-37.93206,145.0146,Entire home/apt,301,1,0,,,1,0
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78784,145.00548,Entire home/apt,180,2,1,2016-01-10,0.02,1,355
70004,King Single in Beautiful House,193031,Vicki,,Frankston,-38.14931,145.1419,Private room,60,3,34,2019-11-21,0.47,6,357
70328,AWESOME BEACH HOUSE BnB -,356006,Raewyn,,Kingston,-38.00546,145.08541,Private room,70,1,124,2020-02-08,1.14,1,233
72576,"Stunning Fitzroy, own level + bathroom.  No Ikea!",376675,Ramona,,Yarra,-37.80689,144.97946,Private room,129,3,519,2020-02-02,4.81,2,321
74548,City Location-Perfect for Singles,392505,Mario,,Melbourne,-37.8155,144.95894,Private room,65,1,425,2020-02-01,3.91,1,305
74715,"Northcote, A Classic in Melbourne",392594,Walter,,Darebin,-37.77258,145.00994,Private room,65,2,90,2019-03-17,0.83,2,62
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,,Port Phillip,-37.84098,144.9364,Private room,95,2,108,2020-01-26,1.02,1,327
75109,"❤ Safe, Cosy Oasis 10 km from CBD ❤",397569,Karen,,Hobsons Bay,-37.83821,144.87827,Private room,51,2,104,2018-09-11,0.96,4,228
76867,"City's edge Penthouse - private bath, views!",410806,Judy,,Port Phillip,-37.83291,144.96817,Private room,85,5,252,2020-02-02,2.32,1,0
78143,2 bedrooms-ideal for friends/family,419767,Julie,,Stonnington,-37.8531,144.99012,Private room,98,2,144,2020-01-31,1.36,1,250
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,119,3,77,2020-01-27,0.76,10,67
86369,"Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,Fiona,,Glen Eira,-37.86971,145.00662,Entire home/apt,95,21,24,2019-12-01,0.82,1,255
86422,2 Bright Rooms own Bathrm nr train,473732,Angela,,Whitehorse,-37.82522,145.19781,Private room,97,1,55,2017-10-07,0.51,1,350
108032,Studio apartment on Collins Street,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,140,2,250,2020-01-25,2.37,1,327
111001,Double Guest Room Ensuited,569413,Dina,,Port Phillip,-37.83739,144.96637,Private room,80,2,156,2020-01-29,1.54,23,358
