id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35303,"La Casa Gaienmae C Harajuku, Omotesando is nearby",151977,Miyuki,,Shibuya Ku,35.67152,139.71203,Private room,4250,28,18,2018-07-28,0.18,3,90
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71721,139.82596,Entire home/apt,11006,3,163,2019-12-03,1.60,1,159
289597,Private apt in central Tokyo #203,341577,Hide&Kei,,Nerima Ku,35.74267,139.6581,Entire home/apt,4252,30,112,2019-12-01,1.21,2,115
370759,"Cozy flat #203, local area YET 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66344,139.65593,Entire home/apt,6542,29,102,2019-11-20,1.43,3,265
700253,Private apt in central Tokyo #201,341577,Hide&Kei,,Nerima Ku,35.74264,139.65832,Entire home/apt,4034,30,103,2019-10-04,1.16,2,64
776070,Kero-kero house room 1,801494,Kotaro Kei And Litte Miya,,Arakawa Ku,35.73818,139.77009,Private room,7632,3,228,2020-01-18,2.61,1,234
872235,RELAX AT HOME:Shimo 5'/Shibuya 10',1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66832,139.65159,Entire home/apt,7955,29,44,2020-01-04,0.53,3,216
899003,"Classy room @Shinjuku, Takadanoba",4799233,Yu,,Shinjuku Ku,35.70865,139.69681,Entire home/apt,5231,30,93,2019-11-25,1.10,2,128
905944,4F - Near Shinjuku & Shibuya w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67968,139.67949,Entire home/apt,9808,3,181,2020-01-20,2.18,11,167
1007534,Kichijoji Parkside Attic Room,5068769,Caroline,,Mitaka Shi,35.69952,139.576,Private room,6651,2,92,2019-12-31,2.34,3,188
1016831,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,5596383,Wakana,,Setagaya Ku,35.65833,139.67153,Private room,6978,1,208,2019-12-18,2.51,1,340
1033276,private room @Senju area,5686404,Yukiko,,Adachi Ku,35.74253,139.7973,Private room,3489,1,72,2018-06-17,0.88,2,122
1096292,Home stay with a Japanese language teacher family.,6018145,Mari,,Shinjuku Ku,35.69098,139.70618,Private room,10897,1,249,2020-01-22,3.21,2,275
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74409,139.79895,Private room,3489,2,93,2020-01-23,1.18,2,126
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65162,139.72065,Entire home/apt,31946,4,97,2020-01-03,1.25,1,264
1256034,ENTIRE APARTMENT 450ft² 2LDK NEAR SHIBUYA/YOYOGI,6834839,Tokyo'S Best Stay,,Shibuya Ku,35.68092,139.69273,Private room,12532,1,134,2020-01-04,1.68,2,0
1263000,SHIBUYA 7 MINS  AMAZING HOST(for woman only),6876728,Haruko,,Setagaya Ku,35.60682,139.67629,Private room,5997,3,185,2019-12-31,2.31,1,298
1289173,"Fashionable Harajuku/Omotesando, next to Shibuya",151977,Miyuki,,Shibuya Ku,35.67058,139.71288,Entire home/apt,7846,28,49,2018-03-27,0.63,3,84
1298200,2 Bed Room + 2 Toilets + Free Pocket Wi-Fi,6606987,K & N,,Katsushika Ku,35.7385,139.85167,Entire home/apt,12975,4,335,2020-01-27,4.18,3,56
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70099,139.74012,Entire home/apt,28021,3,160,2020-01-09,2.09,2,124
1394124,Renewal! Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62198,139.69987,Entire home/apt,24968,2,214,2020-01-26,2.71,1,184
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.72597,139.7016,Private room,3160,3,225,2019-12-01,2.90,2,76
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.72607,139.70363,Private room,2179,3,220,2020-01-05,2.80,2,310
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.73626,139.85024,Entire home/apt,13520,4,298,2020-01-18,3.78,8,27
1526132,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,,Shinjuku Ku,35.69908,139.70335,Private room,5994,2,155,2020-01-25,1.99,13,216
1544970,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70362,Private room,5994,2,129,2020-01-03,1.67,13,214
1571298,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69916,139.70374,Shared room,4032,2,166,2020-01-12,2.14,13,203
1574946,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.6992,139.70392,Shared room,4032,2,140,2020-01-20,1.81,13,259
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari ,,Setagaya Ku,35.65918,139.61021,Private room,3271,2,41,2019-04-24,0.54,2,0
1600758,Enjoy a unique house in a green residential area!,8529477,Mari ,,Setagaya Ku,35.6591,139.61036,Private room,3271,2,13,2019-12-15,0.69,2,30
1642592,3F Apartment in Yoyogi/Shibuya Max 6Px w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.6825,139.69203,Entire home/apt,13084,3,83,2020-01-08,1.17,11,236
1732795,"Mr.T's House, 2-Bed-rooms JP-style+Portable Wi-Fi",6606987,K & N,,Katsushika Ku,35.73963,139.85372,Entire home/apt,12975,3,299,2020-01-21,3.92,3,27
1754294,Home stay with a Japanese language teacher family,6018145,Mari,,Shinjuku Ku,35.69279,139.70929,Private room,8718,1,235,2020-01-03,3.07,2,291
1788937,"3BD 55sqm  2MIN WALK Mitaka sta , 17MIN Shinjuku",9365325,Takayuki,,Mitaka Shi,35.70171,139.55988,Entire home/apt,13956,2,29,2020-01-15,3.97,1,74
1868030,30sec Sta.nearSUMO AKB Shinjuku AB,8660693,Soichi,,Koto Ku,35.69031,139.81424,Private room,3271,30,113,2018-11-21,1.71,9,187
1919541,share house 'Miraie' @JR Osaki,9951050,Takashi&Li,,Shinagawa Ku,35.61626,139.72338,Private room,7959,2,226,2019-12-29,2.99,1,59
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63797,139.64716,Entire home/apt,15038,2,104,2020-01-04,1.46,1,178
2027932,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,,Minato Ku,35.65628,139.72586,Entire home/apt,69452,4,168,2020-01-05,2.26,3,173
2075509,Stunning home in central Tokyo,11046932,The Dawson Family,,Minato Ku,35.65008,139.73337,Entire home/apt,79987,3,236,2020-01-13,3.22,1,261
2129583,"Blissful Retreat near Shinjuk, Koenji, Shimokita!",9203725,Memz And Taki,,Suginami Ku,35.67347,139.65953,Entire home/apt,11006,1,8,2019-10-23,0.13,5,320
2219300,*C*Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Taki,,Suginami Ku,35.67354,139.65915,Entire home/apt,16455,1,15,2019-09-03,0.25,5,306
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67069,139.68388,Private room,27039,1,153,2019-12-20,2.15,1,232
2262879,30sec Sta. AKB Shinjuku Shibuya 206,8660693,Soichi,,Koto Ku,35.689,139.81543,Private room,3489,30,41,2019-12-06,0.78,9,85
2289698,BEST for 2ppl@Shinjuku Takadanobaba,4799233,Yu,,Shinjuku Ku,35.70803,139.69822,Entire home/apt,4032,30,72,2019-12-01,0.99,2,54
2491507,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,,Shinjuku Ku,35.69781,139.70502,Private room,5994,2,82,2019-11-28,1.15,13,217
2602722,Shinjuku ShareHouse Dormitory2  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69926,139.70507,Shared room,4032,2,158,2020-01-25,2.22,13,242
2602791,Shinjuku ShareHouse Dormitory1  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69883,139.70316,Shared room,4032,2,71,2020-01-01,1.00,13,195
2642449,S206 30sec Sta. AKB Shinjuku Shibuya,8660693,Soichi,,Koto Ku,35.69091,139.81427,Private room,2506,30,72,2020-01-03,1.09,9,0
2645379,Shinjuku ShareHouse Dormitory4  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69883,139.70478,Shared room,4032,2,73,2019-11-05,1.03,13,259
2645582,New Studio - 5 min to Shinjuku (1),13521173,Alba & Cupidon,,Shinjuku Ku,35.68892,139.70391,Entire home/apt,9372,4,198,2019-11-25,3.84,2,53
2661155,30sec Sta.nearSUMO AKB Shinjuku,8660693,Soichi,,Koto Ku,35.69067,139.8154,Private room,3162,30,90,2019-05-07,1.27,9,180
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,,Akishima Shi,35.70477,139.37874,Entire home/apt,3925,3,28,2019-12-18,0.43,2,54
2839061,Work desk/Central TKO/Discover local life&culture,4839990,Toshiyuki,,Bunkyo Ku,35.72175,139.76309,Private room,5452,4,72,2019-11-29,1.29,1,54
2867835,Lively town flat for family stay,9360394,Vann Amor,,Adachi Ku,35.79273,139.79121,Entire home/apt,12757,7,6,2019-05-21,0.10,4,121
2883497,東京下町生活,6969809,Kota,,Taito Ku,35.72229,139.77859,Entire home/apt,18971,1,248,2020-01-11,3.63,2,249
2883753,Modern Tatami dining with comfy bed,9360394,Vann Amor,,Adachi Ku,35.79298,139.79201,Entire home/apt,12757,7,3,2018-11-29,0.20,4,121
2883869,Comfy Studio with Lovely balcony,9360394,Vann Amor,,Adachi Ku,35.79302,139.79263,Entire home/apt,6542,7,4,2020-01-03,0.07,4,104
