id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43823,12.32902,Entire home/apt,225,6,162,2019-11-06,1.31,3,349
6624,Venice garden charme and canal view!,15016,Francesca,Isole,San Polo,45.43845,12.32869,Entire home/apt,272,6,64,2019-11-03,0.63,3,357
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43827,12.32764,Entire home/apt,122,5,184,2019-10-07,1.55,3,1
27116,Charming room with balcony close to S. Mark's,116144,Gianni,Isole,San Marco,45.43221,12.33411,Private room,190,1,409,2020-01-02,3.56,2,265
27574,MINI APARTMENT 30 MT FROM GRAND CANAL,119219,Elisa,Isole,Santa Croce,45.44031,12.32313,Entire home/apt,94,2,255,2019-10-27,2.22,6,39
32261,Venice close to Biennale exhibition (M (Phone number hidden by Airbnb),139420,Maura,Isole,Castello,45.43451,12.3565,Entire home/apt,78,3,168,2020-01-01,1.60,1,348
33934,LOVELY APARTMENT IN THE CENTER,119219,Elisa,Isole,Cannaregio,45.4448,12.33121,Entire home/apt,103,2,133,2019-10-13,1.17,6,96
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44754,12.32918,Entire home/apt,300,2,72,2020-01-04,0.68,1,351
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43854,12.34959,Entire home/apt,200,5,6,2019-11-03,0.05,12,247
45036,San Toma Apartment - Venice,198581,Laura,Isole,San Polo,45.43723,12.32451,Entire home/apt,120,1,19,2019-11-10,0.17,12,271
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.43439,12.33509,Entire home/apt,400,1,59,2019-11-03,0.58,12,244
46158,Few steps from San Marco Square,198581,Laura,Isole,San Marco,45.43468,12.33613,Entire home/apt,200,1,11,2019-10-11,0.21,12,274
46171,Apartment Cà d'Oro - Canal view,198581,Laura,Isole,Cannaregio,45.44185,12.33355,Entire home/apt,200,3,12,2019-09-17,0.11,12,270
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43846,12.33235,Hotel room,102,2,267,2019-11-03,2.36,4,326
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43541,12.3246,Entire home/apt,138,2,143,2019-08-06,1.43,2,144
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43505,12.32668,Entire home/apt,90,3,72,2019-11-01,0.82,2,291
51847,Furlani Apartment,198581,Laura,Isole,Castello,45.43546,12.34636,Entire home/apt,130,1,8,2019-10-06,0.08,12,273
55968,Great canal view close to S.Marco,264845,Paola,Isole,Castello,45.43699,12.34741,Entire home/apt,100,3,81,2019-10-27,0.77,2,365
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44525,12.33166,Entire home/apt,150,3,47,2019-05-29,0.52,1,89
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43302,12.332,Entire home/apt,180,2,155,2019-09-15,1.46,1,292
60020,Bed and Breakfast (Website hidden by Airbnb),288785,Nicola,Isole,Santa Croce,45.44059,12.32952,Hotel room,80,3,26,2019-10-13,0.24,2,348
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44334,12.33483,Private room,90,1,145,2019-11-22,1.40,2,260
61714,B&B AL CANAL VENICE canal view,289023,Francesca,Isole,Giudecca,45.42817,12.3192,Private room,73,2,866,2020-01-02,8.02,3,280
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43818,12.35032,Entire home/apt,110,3,11,2020-01-03,0.55,1,340
65926,APPARTAMENTO AL PERGOLO  CANAL VIEW,289023,Francesca,Isole,Dorsoduro,45.43108,12.32593,Entire home/apt,145,2,149,2019-10-28,1.69,3,361
69375,Armonia Apartment  Venice's flavour,347332,Guido,Isole,Cannaregio,45.44555,12.32155,Entire home/apt,130,3,24,2019-05-09,0.23,3,351
71460,COZY ROOM EASY TO GET VENICE AND AIRPORTS !,365995,Andre,Terraferma,San Lorenzo XXV Aprile,45.49249,12.24348,Private room,49,2,248,2019-11-03,2.36,2,365
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43482,12.33648,Entire home/apt,120,3,93,2019-12-16,0.89,3,325
71870,Biennale - Great & cosy flat,369617,Irene,Isole,Castello,45.42906,12.3582,Entire home/apt,90,3,208,2019-11-13,1.93,4,262
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.44001,12.32552,Private room,120,1,52,2019-10-27,0.56,2,361
72000,"Unique green gem: private court, boat, concierge",370543,Diana,Isole,Castello,45.43006,12.35652,Private room,60,2,139,2019-11-25,1.31,1,354
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.507,12.28175,Entire home/apt,45,2,305,2020-01-04,2.89,5,301
74042,Low Cost Romantic Venice,9609304,Luca,Isole,Castello,45.43463,12.35122,Entire home/apt,69,3,519,2019-11-03,4.97,3,274
74272,Ca' Annalaura 2 with private court,390175,Monica,Isole,Castello,45.43476,12.34999,Entire home/apt,57,3,230,2019-10-12,2.17,2,330
74873,Al Campanile Madonna Dell'Orto: Apt BEIGE,394892,Hossep,Isole,Cannaregio,45.44699,12.33227,Entire home/apt,145,3,16,2019-05-26,0.20,4,347
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43569,12.33598,Entire home/apt,150,3,198,2019-10-27,1.96,6,313
75760,at Biennale Giardini - Cà Zaleta,402656,Luigi & Giovanna,Isole,Castello,45.43119,12.3571,Entire home/apt,125,2,217,2019-11-24,2.07,1,314
75994,San Bortolomio Apartment - WI FI,399883,Monica,Isole,San Marco,45.43669,12.336,Entire home/apt,150,3,104,2019-09-26,1.02,6,343
77188,Ca' Annalaura 1 with private court,390175,Monica,Isole,Castello,45.43385,12.34786,Entire home/apt,111,3,250,2019-11-24,2.43,2,292
77598,Ca' Gioiosa,416351,Italo,Isole,Dorsoduro,45.43103,12.31997,Entire home/apt,110,3,79,2018-08-09,0.85,2,362
77848,ALLELUIA 33 - INDIVIDUAL ACCOMMODATION WITH LIFT,119219,Elisa,Isole,Santa Croce,45.4396,12.32345,Entire home/apt,103,2,196,2019-12-09,1.87,6,106
78706,Al Campanile Madonna Dell'Orto: Apt. NERO,394892,Hossep,Isole,Cannaregio,45.44648,12.33248,Entire home/apt,135,3,34,2020-01-05,0.37,4,346
78833,Al Campanile: Loft ROSSO,394892,Hossep,Isole,Cannaregio,45.44648,12.33187,Entire home/apt,140,3,20,2019-06-30,0.20,4,331
